Id,Date,Season,Week,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldiff,result,HT,hgoal_half,vgoal_half,half_totgoal,half_goaldiff,result_half,fans,neutral,home_red_card,visitor_red_card
1,1959-02-21,1958,1,Genclerbirligi,Adalet,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
2,1959-02-21,1958,1,Izmirspor,Beykoz 1908,2-1,2,1,T1,1,3,1,H,2-0,2,0,2,2,H,1,0,0,0
3,1959-02-21,1958,1,Ankara Demirspor,Galatasaray,0-2,0,2,T1,1,2,-2,A,0-1,0,1,1,-1,A,1,0,0,0
4,1959-02-21,1958,1,Fenerbahce,MKE Ankaragucu,3-1,3,1,T1,1,4,2,H,1-1,1,1,2,0,D,1,0,0,0
5,1959-02-21,1958,1,Altay,Besiktas,1-2,1,2,T1,1,3,-1,A,0-1,0,1,1,-1,A,1,0,0,0
6,1959-02-21,1958,1,Istanbulspor,Ankara Keciorengucu,0-2,0,2,T1,1,2,-2,A,0-0,0,0,0,0,D,1,0,0,0
7,1959-02-22,1958,1,Altay,Beykoz 1908,2-2,2,2,T1,1,4,0,D,0-1,0,1,1,-1,A,1,0,0,0
8,1959-02-22,1958,1,Istanbulspor,MKE Ankaragucu,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
9,1959-02-22,1958,1,Fenerbahce,Ankara Keciorengucu,2-1,2,1,T1,1,3,1,H,1-0,1,0,1,1,H,1,0,0,0
10,1959-02-22,1958,1,Genclerbirligi,Galatasaray,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
11,1959-02-22,1958,1,Ankara Demirspor,Adalet,2-0,2,0,T1,1,2,2,H,2-0,2,0,2,2,H,1,0,0,0
12,1959-02-22,1958,1,Izmirspor,Besiktas,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
13,1959-02-25,1958,2,Beykoz 1908,Besiktas,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
14,1959-02-25,1958,2,Vefa,Fatih Karagumruk,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
15,1959-02-28,1958,2,Adalet,Goztepe,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
16,1959-02-28,1958,2,Izmirspor,Istanbulspor,2-0,2,0,T1,1,2,2,H,0-0,0,0,0,0,D,1,0,0,0
17,1959-02-28,1958,2,Altay,Fenerbahce,0-1,0,1,T1,1,1,-1,A,0-1,0,1,1,-1,A,1,0,0,0
18,1959-02-28,1958,2,Galatasaray,Karsiyaka,1-1,1,1,T1,1,2,0,D,1-0,1,0,1,1,H,1,0,0,0
19,1959-03-01,1958,2,Adalet,Karsiyaka,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
20,1959-03-01,1958,2,Altay,Istanbulspor,2-0,2,0,T1,1,2,2,H,0-0,0,0,0,0,D,1,0,0,0
21,1959-03-01,1958,2,Izmirspor,Fenerbahce,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
22,1959-03-01,1958,2,Galatasaray,Goztepe,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
23,1959-03-07,1958,3,Genclerbirligi,Vefa,0-3,0,3,T1,1,3,-3,A,0-2,0,2,2,-2,A,1,0,0,0
24,1959-03-07,1958,3,Besiktas,Ankara Keciorengucu,3-2,3,2,T1,1,5,1,H,2-1,2,1,3,1,H,1,0,0,0
25,1959-03-07,1958,3,Ankara Demirspor,Fatih Karagumruk,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
26,1959-03-07,1958,3,Beykoz 1908,MKE Ankaragucu,3-1,3,1,T1,1,4,2,H,1-1,1,1,2,0,D,1,0,0,0
27,1959-03-08,1958,3,Besiktas,MKE Ankaragucu,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
28,1959-03-08,1958,3,Altay,Izmirspor,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
29,1959-03-08,1958,3,Genclerbirligi,Fatih Karagumruk,0-1,0,1,T1,1,1,-1,A,0-1,0,1,1,-1,A,1,0,0,0
30,1959-03-08,1958,3,Goztepe,Karsiyaka,3-2,3,2,T1,1,5,1,H,2-0,2,0,2,2,H,1,0,0,1
31,1959-03-08,1958,3,Beykoz 1908,Ankara Keciorengucu,0-1,0,1,T1,1,1,-1,A,0-0,0,0,0,0,D,1,0,0,0
32,1959-03-08,1958,3,Ankara Demirspor,Vefa,1-1,1,1,T1,1,2,0,D,0-0,0,0,0,0,D,1,0,0,0
33,1959-03-11,1958,4,Vefa,Galatasaray,0-0,0,0,T1,1,0,0,D,0-0,0,0,0,0,D,1,0,0,0
34,1959-03-11,1958,4,Istanbulspor,Beykoz 1908,2-0,2,0,T1,1,2,2,H,1-0,1,0,1,1,H,1,0,0,0
35,1959-03-14,1958,4,Besiktas,Istanbulspor,2-1,2,1,T1,1,3,1,H,1-0,1,0,1,1,H,1,0,0,0
36,1959-03-14,1958,4,Ankara Demirspor,Karsiyaka,1-0,1,0,T1,1,1,1,H,1-0,1,0,1,1,H,1,0,0,0
37,1959-03-14,1958,4,Genclerbirligi,Goztepe,2-2,2,2,T1,1,4,0,D,2-2,2,2,4,0,D,1,0,0,0
38,1959-03-14,1958,4,Altay,Ankara Keciorengucu,1-0,1,0,T1,1,1,1,H,0-0,0,0,0,0,D,1,0,0,0
39,1959-03-15,1958,4,Fenerbahce,Beykoz 1908,2-1,2,1,T1,1,3,1,H,0-0,0,0,0,0,D,1,0,0,0
40,1959-03-15,1958,4,Izmirspor,Ankara Keciorengucu,1-0,1,0,T1,1,1,1,H,1-0,1,0,1,1,H,1,0,0,0
41,1959-03-15,1958,4,Altay,MKE Ankaragucu,1-0,1,0,T1,1,1,1,H,1-0,1,0,1,1,H,1,0,0,0
42,1959-03-15,1958,4,Galatasaray,Adalet,2-1,2,1,T1,1,3,1,H,2-0,2,0,2,2,H,1,0,0,0
43,1959-03-15,1958,4,Genclerbirligi,Karsiyaka,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,1,1
44,1959-03-15,1958,4,Ankara Demirspor,Goztepe,1-1,1,1,T1,1,2,0,D,0-1,0,1,1,-1,A,1,0,0,0
